TIMESTAMP,X,Y,Z
19.16.14.617,-6.475379467,-7.165183544,1.634065747
19.16.14.671,-6.436461449,-7.106267452,1.686534524
19.16.14.751,-6.509375095,-7.04418993,1.723457694
19.16.14.810,-6.597186089,-7.123887539,1.72691524
19.16.14.871,-6.640751362,-6.852482796,1.737754226
19.16.14.950,-6.57079792,-6.919489861,1.610101819
19.16.15.011,-6.566111088,-6.841232777,1.628076434
19.16.15.069,-6.326518059,-6.638211727,1.541010857
19.16.15.149,-6.376766682,-7.424302578,1.699650168
19.16.15.210,-6.30059576,-6.845872402,1.699119925
19.16.15.270,-6.287312031,-7.59546566,1.368573189
19.16.15.350,-5.406596184,-6.906070232,1.90602231
19.16.15.409,-4.97637558,-8.394206047,1.499910474
19.16.15.468,-4.211767673,-9.309158325,0.983226538
19.16.15.549,-2.729560614,-10.40451717,1.171575546
19.16.15.607,-2.579977989,-10.75674248,0.535063922
19.16.15.689,-2.403105736,-8.024349213,0.607241631
19.16.15.748,-3.303689003,-9.536653519,0.707966089
19.16.15.807,-2.79638052,-9.454834938,0.509365261
19.16.15.888,-2.299433231,-9.349117279,0.712914765
19.16.15.947,-3.498278141,-8.328966141,0.966060996
19.16.16.009,-3.98551631,-8.585752487,2.042072296
19.16.16.094,-2.140936852,-9.284971237,3.081410408
19.16.16.155,-2.397461176,-9.311535835,1.668810487
19.16.16.219,-3.32816267,-8.982374191,2.269537687
19.16.16.289,-3.323019505,-9.642379761,1.996257544
19.16.16.355,-2.24359417,-9.654097557,2.01534915
19.16.16.410,-1.900814176,-9.573477745,1.416046739
19.16.16.491,-2.02600503,-9.866678238,0.339484215
19.16.16.551,-1.992708445,-9.665248871,1.356884837
19.16.16.607,-1.806374788,-9.760696411,1.016749263
19.16.16.691,-1.610390306,-9.588233948,1.783404946
19.16.16.751,-2.024321556,-9.636301994,1.837879777
19.16.16.808,-2.247137547,-8.992460251,1.417334199
19.16.16.885,-1.850139737,-8.788594246,1.277748108
19.16.16.943,-3.154839039,-9.46417141,1.934542894
19.16.17.004,-2.98690486,-9.312452316,1.024620891
19.16.17.083,-2.411500692,-8.616352081,1.033801675
19.16.17.143,-3.172183037,-9.208476067,0.557000816
19.16.17.204,-3.26091361,-9.11899662,2.60513711
19.16.17.281,-3.758985043,-7.912372112,3.454133034
19.16.17.344,-3.171014309,-9.284929276,0.991734385
19.16.17.403,-4.188416958,-9.803602219,2.808809519
19.16.17.485,-5.635149956,-10.41103363,2.33720541
19.16.17.546,-2.602604389,-10.68023682,4.100073338
19.16.17.605,-6.752842426,-11.90157223,-2.446899414
19.16.17.685,-2.386396646,-9.744952202,0.42362088
19.16.17.754,-2.352441788,-9.67232132,0.145403787
19.16.17.828,-3.374692917,-8.20125103,0.034241557
19.16.17.881,-1.355047107,-5.843932629,0.171045557
19.16.17.943,-0.035851449,-6.519532681,1.617438793
19.16.18.022,0.295216233,-9.679404259,7.614787102
19.16.18.083,-0.940021038,-10.13846874,7.743279457
19.16.18.143,-2.167834044,-14.55539894,3.774253845
19.16.18.222,-0.361061633,-3.513964415,-2.609273195
19.16.18.281,-5.270853519,-10.50571156,1.813969493
19.16.18.341,-4.076592922,-6.923299313,0.658704698
19.16.18.420,-2.725894928,-8.435976982,2.34210372
19.16.18.478,-4.231842518,-8.006285667,0.312746465
19.16.18.540,-4.94562149,-9.18087101,0.3480407
19.16.18.619,-7.148769855,-11.87245178,1.835630536
19.16.18.683,-7.549049854,-12.46917534,4.005487919
19.16.18.739,-1.741174817,-10.83123589,-1.908008218
19.16.18.819,-3.440514326,-13.65247154,3.154151917
19.16.18.879,-1.267859936,-6.041401386,0.123512939
19.16.18.938,0.298802644,-3.857879162,-0.342346728
19.16.19.017,-0.048392475,-6.741793156,0.403167784
19.16.19.079,1.50329268,-8.143565178,6.61549139
19.16.19.138,-2.0229671,-12.68399048,10.44926643
19.16.19.218,-1.842108607,-14.60648346,0.423819721
19.16.19.277,-2.540016174,-4.27738142,-0.42105794
19.16.19.340,-3.657075405,-9.740046501,-0.289321065
19.16.19.415,-2.119622946,-7.460011959,-1.324542165
19.16.19.477,-3.474308491,-7.798676491,1.140327811
19.16.19.538,-4.938563824,-8.620698929,0.544031441
19.16.19.619,-5.493088245,-10.85134125,1.220961094
19.16.19.676,-5.108467579,-11.97028732,3.742552996
19.16.19.736,-5.490190029,-12.57434368,-1.426093459
19.16.19.818,-1.33004868,-14.94723892,0.572829545
19.16.19.876,-3.882838726,-11.09160423,0.48227334
19.16.19.955,-0.865570605,-3.975915432,-1.434305549
19.16.20.015,1.185061097,-4.510710239,-1.394507527
19.16.20.074,0.380920827,-6.130563259,3.106611252
19.16.20.156,0.075914487,-12.52004242,10.19581795
19.16.20.215,0.731897712,-8.886256218,6.804515362
19.16.20.273,-1.516898751,-14.73252392,-1.933928013
19.16.20.357,-3.495560408,-6.105164051,-1.207440972
19.16.20.414,-4.002283096,-9.382448196,0.819195926
19.16.20.474,-1.505217314,-7.639931202,0.069754496
19.16.20.553,-3.53336668,-6.896690845,0.30676198
19.16.20.615,-4.594023228,-8.929325104,1.190116286
19.16.20.673,-5.426667213,-12.31272411,1.948293924
19.16.20.754,-4.180427074,-12.76368237,5.562594414
19.16.20.811,-5.106725216,-12.70261383,-2.516907454
19.16.20.875,-3.119799614,-14.64578629,2.401319027
19.16.20.960,-2.877769232,-8.266716003,-0.685520828
19.16.21.013,0.511906445,-4.008719921,-1.215510726
19.16.21.077,-0.549752474,-4.260546207,-1.158476949
19.16.21.167,1.591951013,-7.158113003,4.746229649
19.16.21.220,-1.786438704,-13.25316906,12.37230492
19.16.21.276,-3.239909649,-14.03105927,1.821550965
19.16.21.365,1.925237298,-6.802542686,-1.922359109
19.16.21.413,-4.951345921,-9.985595703,-1.767781734
19.16.21.474,-2.110158205,-7.736703396,0.663611233
19.16.21.555,-2.592344999,-7.988253117,1.051572919
19.16.21.617,-2.799218893,-8.216490746,0.848468781
